#{"t_start": 1734908711.784777, "env_id": "ContinuousCartPole-v0"}
r,l,t
32.0,32,3.626397
40.0,40,3.63253
48.0,48,3.639871
62.0,62,3.64937
42.0,42,3.656535
112.0,112,7.962397
53.0,53,7.96898
81.0,81,7.979037
62.0,62,7.986732
67.0,67,7.995143
500.0,500,12.459501
488.0,488,12.525799
403.0,403,12.578356
432.0,432,12.635606
500.0,500,12.710148
500.0,500,17.678112
500.0,500,17.739743
500.0,500,17.800567
500.0,500,17.861738
500.0,500,17.922732
500.0,500,22.204745
500.0,500,22.266695
500.0,500,22.328734
500.0,500,22.390044
500.0,500,22.451336
500.0,500,26.594599
500.0,500,26.65979
500.0,500,26.722318
500.0,500,26.784458
500.0,500,26.846768
500.0,500,31.172798
500.0,500,31.249401
500.0,500,31.325014
500.0,500,31.399362
500.0,500,31.473539
500.0,500,35.946616
500.0,500,36.023162
500.0,500,36.099416
500.0,500,36.173571
500.0,500,36.247736
500.0,500,40.163467
500.0,500,40.236463
500.0,500,40.309259
500.0,500,40.382234
500.0,500,40.455162
500.0,500,44.875641
500.0,500,44.948341
500.0,500,45.020784
500.0,500,45.093506
500.0,500,45.169441
2
32.0,32,1.545159
43.0,43,1.5522
56.0,56,1.561407
51.0,51,1.569742
32.0,32,1.575052
27.0,27,1.579443
28.0,28,1.584066
32.0,32,1.589262
42.0,42,1.596094
77.0,77,1.608543
28.0,28,1.613182
53.0,53,1.62251
40.0,40,1.629103
37.0,37,1.635155
48.0,48,1.64293
62.0,62,1.653085
29.0,29,1.657832
52.0,52,1.666321
38.0,38,1.672537
33.0,33,1.67787
34.0,34,1.683408
46.0,46,1.690918
60.0,60,1.70034
38.0,38,1.706503
39.0,39,1.712889
44.0,44,1.720015
43.0,43,1.726939
41.0,41,1.733625
41.0,41,1.740481
45.0,45,1.747739
27.0,27,1.752213
44.0,44,1.759293
39.0,39,1.765724
36.0,36,1.771674
39.0,39,1.778008
29.0,29,1.782719
41.0,41,1.789418
34.0,34,1.794975
36.0,36,1.800783
53.0,53,1.809464
