#{"t_start": 1735251122.354193, "env_id": "ContinuousCartPole-v0"}
r,l,t
386.0,386,191.119845
302.0,302,191.223165
333.0,333,191.328838
363.0,363,191.437064
375.0,375,191.543791
335.0,335,370.718706
298.0,298,370.827949
500.0,500,371.012975
311.0,311,371.116371
434.0,434,371.255059
302.0,302,545.534608
360.0,360,545.662783
289.0,289,545.755738
409.0,409,545.879228
406.0,406,545.994833
372.0,372,720.219559
338.0,338,720.33483
410.0,410,720.461506
427.0,427,720.584978
458.0,458,720.710876
419.0,419,902.157372
381.0,381,902.288713
319.0,319,902.390889
389.0,389,902.508748
341.0,341,902.608181
297.0,297,1074.410692
350.0,350,1074.533639
445.0,445,1074.676322
421.0,421,1074.803104
404.0,404,1074.919362
328.0,328,1251.88671
459.0,459,1252.046799
349.0,349,1252.157413
308.0,308,1252.250766
351.0,351,1252.353689
323.0,323,1521.597009
383.0,383,1521.726434
416.0,416,1521.855145
325.0,325,1521.949546
361.0,361,1522.050781
465.0,465,1732.38649
402.0,402,1732.519462
398.0,398,1732.640629
419.0,419,1732.774319
346.0,346,1732.871926
500.0,500,1958.254971
500.0,500,1958.416809
500.0,500,1958.564808
500.0,500,1958.70421
500.0,500,1958.834633
,56.284107
70.0,70,57.307458
40.0,40,57.904056
35.0,35,58.462067
41.0,41,59.197484
62.0,62,60.254749
33.0,33,60.756621
36.0,36,61.31294
34.0,34,61.83709
32.0,32,63.987993
60.0,60,64.865679
39.0,39,65.459437
36.0,36,66.001572
29.0,29,66.437068
71.0,71,67.474083
35.0,35,67.999438
33.0,33,68.490325
43.0,43,69.160151
41.0,41,69.766595
38.0,38,70.334301
32.0,32,70.823892
31.0,31,71.277684
45.0,45,71.939603
36.0,36,72.48518
112.0,112,74.606968
42.0,42,75.227379
35.0,35,75.737042
56.0,56,76.5653
37.0,37,77.112789
40.0,40,77.701002
35.0,35,78.208302
53.0,53,79.018418
51.0,51,79.814936
36.0,36,80.344143
70.0,70,81.444423
37.0,37,82.007479
34.0,34,82.518903
62.0,62,83.454701
38.0,38,84.067911
49.0,49,84.784377
38.0,38,85.355505
44.0,44,86.007631
34.0,34,86.508679
42.0,42,87.130332
47.0,47,87.839817
36.0,36,88.372645
47.0,47,89.093896
36.0,36,89.628936
47.0,47,90.330899
48.0,48,91.039055
53.0,53,91.821138
61.0,61,92.716142
64.0,64,93.677095
45.0,45,94.513243
42.0,42,95.134061
55.0,55,96.393765
46.0,46,97.073216
60.0,60,97.960816
88.0,88,99.339424
